0,0.112,
5,0.113,
10.38,0.112,
16.55,0.111,
21,0.108,
22.1,0.108,
22.8,0.075,
24.3,0.013,
26,0.001,

0,0.105,
4.62,0.106,
7.58,0.106,
11.47,0.105,
12.89,0.106,
13.84,0.096,
15.14,0.037,
16.28,0.005,
17.85,0.001,
,,
3.16,0.114,
9.79,0.114,
17.84,0.114,
21.9,0.114,
26.7,0.114,
30.02,0.111,
32.8,0.109,
33.5,0.089,
34.7,0.043,
37.9,0.003,
38.8,0.002,
,,
10.7,0.122,
20.5,0.122,
30.6,0.122,
37.9,0.126,
39.9,0.124,
40.8,0.123,
42.7,0.123,
48.8,0.121,
49.8,0.102,
51.5,0.052,
53,0.025,
54.9,0.006,
64.7,0.006,
